rating,schooladdress,schooldist,schoolname
10,"522 West 44th Street, New York, NY 10036",Nyc Geog District # 3 - Manhattan,Beacon High School
10,"45 East 81st Street, New York, NY 10028",Nyc Geog District # 2 - Manhattan,Ps 6 Lillie D Blake
10,"319 East 19th Street, New York, NY 10003",Nyc Geog District # 2 - Manhattan,P.S. 40 Augustus St.-Gaudens
10,"116 West 11th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,P.S. 41 Greenwich Village
10,"103 West 107th Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Jhs 54 Booker T Washington
10,"249 West 56th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Ps 59 Beekman Hill International
10,"285 Delancey Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Ps 110 Florence Nightingale
10,"143 Baxter Street, New York, NY 10013",Nyc Geog District # 2 - Manhattan,Ps 130 Hernando De Soto
10,"334 Greenwich Street, New York, NY 10013",Nyc Geog District # 2 - Manhattan,Ps 150
10,"220 East 76th Street, New York, NY 10021",Nyc Geog District # 2 - Manhattan,Jhs 167 Robert F Wagner
10,"419 East 66th Street, New York, NY 10065",Nyc Geog District # 2 - Manhattan,Ps 183 Robert L Stevenson
10,"345 Chambers Street, New York, NY 10282",Nyc Geog District # 2 - Manhattan,Stuyvesant High School
10,"201 Warren Street, New York, NY 10282",Nyc Geog District # 2 - Manhattan,Ps 89
10,"292 Greenwich Street, New York, NY 10007",Nyc Geog District # 2 - Manhattan,Ps 234 Independence School
10,"1700 3rd Avenue, New York, NY 10128",Nyc Geog District # 2 - Manhattan,Ps 77 Lower Lab School
10,"319 East 19th Street, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Ms 255 Salk School Of Science
10,"331 East 91st Street, New York, NY 10128",Nyc Geog District # 2 - Manhattan,East Side Middle School
10,"411 East 76th Street, New York, NY 10021",Nyc Geog District # 2 - Manhattan,Eleanor Roosevelt High School
10,"890 Broadway, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Ballet Tech Nyc Ps For Dance
10,"240 East 109th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Tag Young Scholars
10,"240 Convent Avenue, New York, NY 10031",Nyc Geog District # 5 - Manhattan,High School Math Science And Engineering At Ccny
10,"55 Battery Pl, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Battery Park City School
10,"12 Spruce Street, New York, NY 10038",Nyc Geog District # 2 - Manhattan,Spruce Street School
10,"144 East 128th Street, New York, NY 10035",Nyc Geog District # 5 - Manhattan,Success Academy Charter School-Harlem 2
10,"100 West 77th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Ps 452
10,"213 East 63rd Street, New York, NY 10065",Nyc Geog District # 2 - Manhattan,"East Side Elementary School, PS 267"
10,"323 East 91st Street, New York, NY 10128",Nyc Geog District # 2 - Manhattan,P.S. 527 East Side School-Social Actio
10,"439 West 49th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Success Academy Hell's Kitchen
9,"43 West 22nd Street, New York, NY 10010",Nyc Geog District # 2 - Manhattan,Manhattan Village Academy
9,"311 East 82nd Street, New York, NY 10028",Nyc Geog District # 2 - Manhattan,Ps 290 Manhattan New School
9,"100 West 84th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Ps 9 Sarah Anderson
9,"71 Hester Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Ps 42 Benjamin Altman
9,"160 West 78th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Ps 87 William Sherman
9,"40 Division Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Ps 124 Yung Wing
9,"1458 York Avenue, New York, NY 10075",Nyc Geog District # 2 - Manhattan,P.S. 158 Baylard Taylor
9,"19 103rd Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Ps 171 Patrick Henry
9,"270 West 70th Street, New York, NY 10023",Nyc Geog District # 3 - Manhattan,Ps 199 Jessie Isador Straus
9,"333 West 17th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Nyc Lab High School For Collaborative Studies
9,"111 Columbia Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,"New Explorations Into Science, Tech and Math High School"
9,"201 Warren Street, New York, NY 10282",Nyc Geog District # 2 - Manhattan,Is 289
9,"100 Amsterdam Avenue, New York, NY 10023",Nyc Geog District # 3 - Manhattan,"Fiorello H Laguardia High School of Music, Art and Performing Arts"
9,"71-111 Convent Ave, New York, NY 10027",Nyc Geog District # 6 - Manhattan,The Mott Hall School
9,"327 Cherry Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Ps 184 Shuang Wen
9,"100 West 84th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Ms 243 Center School
9,"100 West 77th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Ms 245 The Computer School
9,"328 West 48th Street, New York, NY 10036",Nyc Geog District # 2 - Manhattan,Ps 212 Midtown West
9,"75 Broad Street, New York, NY 10004",Nyc Geog District # 2 - Manhattan,Millennium High School
9,"333 West 17th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Nyc Lab Ms For Collaborative Studies
9,"100 West 77th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,The Anderson School
9,"442 East Houston Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Girls Prep Lower East Side
9,"26 Broadway, 6th Floor, New York, NY 10004",Nyc Geog District # 2 - Manhattan,Lower Manhattan Community Middle School
9,"55 East 25th Street, New York, NY 10010",Nyc Geog District # 2 - Manhattan,Baruch College Campus High School
9,"350 Grand Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,High School For Dual Language And Asian Studies
9,"234 West 109th Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Mott Hall Ii
9,"4862 Broadway, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Muscota
9,"1458 York Avenue, New York, NY 10075",Nyc Geog District # 2 - Manhattan,YORKVILLE EAST MIDDLE SCHOOL
9,"425 West 123rd Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Columbia Secondary School
9,"202 Sherman Avenue, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Washington Heights Academy
9,"131 Avenue of the Americas, New York, NY 10013",Nyc Geog District # 2 - Manhattan,Nyc Ischool
9,"240 West 113th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Success Academy Charter School-Harlem 4 
9,"1991 2nd Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Dream Charter School
9,"410 East 100th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Success Academy Charter School-Harlem 3
9,"301 W 140th St, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Success Academy Charter School-Harlem 5
9,"21 Jumel Place, New York, NY 10032",Nyc Geog District # 6 - Manhattan,KIPP NYC WASHINGTON HEIGHTS CHARTER
9,"145 West 84th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Success Academy Upper West
9,"1 Peck Slip, New York, NY 10038",Nyc Geog District # 2 - Manhattan,Peck Slip School (The)
9,"40 Irving Place, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Success Academy Union Square
8,"490 Hudson Street, New York, NY 10014",Nyc Geog District # 2 - Manhattan,Ps 3 Charrette School
8,"281 9th Avenue, New York, NY 10001",Nyc Geog District # 2 - Manhattan,Ps 33 Chelsea Prep
8,"525 West 44th Street, New York, NY 10036",Nyc Geog District # 2 - Manhattan,P.S. 51 Elias Howe
8,"121 E 3rd St, New York, NY 10009",Nyc Geog District # 1 - Manhattan,S.T.A.R. Academy - PS 63
8,"425 West 123rd Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Ps 125 Ralph Bunche
8,"80 Catherine Street, New York, NY 10038",Nyc Geog District # 2 - Manhattan,Ps 126 Jacob August Riis
8,"163 West 97th Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ps 163 Alfred E Smith
8,"132 West 89th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Ps 166 The Richard Rogers School Of The Arts And S
8,"127 East 22nd Street, New York, NY 10010",Nyc Geog District # 2 - Manhattan,School Of The Future High School
8,"333 West 17th Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Nyc Museum School
8,"645 Main Street, New York, NY 10044",Nyc Geog District # 2 - Manhattan,Ps Is 217 Roosevelt Island
8,"330 East 21st Street, New York, NY 10010",Nyc Geog District # 2 - Manhattan,Jhs 104 Simon Baruch
8,"260 Pleasant Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Manhattan Center for Science & Mathematics
8,"10 East 15th Street, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Ms 260 Clinton School Writers And Artists
8,"122 Amsterdam Avenue, New York, NY 10023",Nyc Geog District # 3 - Manhattan,Manhattan/Hunter Science High School
8,"100 Attorney Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Manhattan Charter School
8,"625 West 133rd Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Kipp Infinity Charter School
8,"34 West 118th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Success Academy Harlem 1
8,"129 West 67th Street, New York, NY 10023",Nyc Geog District # 3 - Manhattan,Special Music School
8,"132 West 124th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Neighborhood Charter School of Harlem
8,"425 East 35th Street, New York, NY 10016",Nyc Geog District # 2 - Manhattan,River School (The)
7,"1573 Madison Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Central Park East High School
7,"300 East 68th Street, New York, NY 10065",Nyc Geog District # 2 - Manhattan,Talent Unlimited High School
7,"328 West 48th Street, New York, NY 10036",Nyc Geog District # 2 - Manhattan,Professional Performing Arts High School
7,"8 Henry Street, New York, NY 10038",Nyc Geog District # 2 - Manhattan,Ps 1 Alfred E Smith
7,"122 Henry Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Ps 2 Meyer London
7,"320 West 21st Street, New York, NY 10011",Nyc Geog District # 2 - Manhattan,Ps 11 William T Harris
7,"185 1st Avenue, New York, NY 10003",Nyc Geog District # 1 - Manhattan,Ps 19 Asher Levy
7,"735 West End Avenue, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ps 75 Emily Dickinson
7,"210 East 33rd Street, New York, NY 10016",Nyc Geog District # 2 - Manhattan,Ps 116 Mary Lindley Murray
7,"1700 3rd Avenue, New York, NY 10128",Nyc Geog District # 2 - Manhattan,Ps 198 Isador E Ida Straus
7,"105 East 106th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Young Women's Leadership School
7,"317 East 67th Street, New York, NY 10065",Nyc Geog District # 2 - Manhattan,Ella Baker School
7,"100 Hester Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,Ms 131
7,"32 West 92nd Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ms 247 Dual Language Middle School
7,"154 West 93rd Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Community Action School Ms 258
7,"154 West 93rd Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ps 333 Manhattan School For Children
7,"125 West 115th Street, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Sisulu Walker Charter School Of Harlem
7,"220 East 106th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Amber Charter School
7,"433 West 123rd Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,KIPP S.T.A.R. Charter School
7,"610 East 12th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,The East Village Community School
7,"525 East Houston Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Bard High School Early College
7,"223 East 23rd Street, New York, NY 10010",Nyc Geog District # 2 - Manhattan,47 the American Sign Language and English Lower School
7,"35 East 125th Street, New York, NY 10035",Nyc Geog District # 5 - Manhattan,Harlem Children S Zone Promise Academy Ii Charter
7,"508 East 120th Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,River East Elementary School
7,"245 West 129th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Harlem Children's Zone Promise Academy Charter School
7,"421 W 219th St, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Paula Hedbavny School
7,"549 Audubon Ave-Trailer 30, New York, NY 10040",Nyc Geog District # 6 - Manhattan,The Equity Project Charter School
7,"250 West 127th Street, New York, NY 10027",Nyc Geog District # 5 - Manhattan,Democracy Prep Endurance Charter School
7,"243 West 61st Street, New York, NY 10023",Nyc Geog District # 3 - Manhattan,West End Secondary School
6,"230 East 105th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Park East High School
6,"420 East 12th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,East Side Community School
6,"80-55 Cornish Avenue, New York, NY 11373",Nyc Geog District #24 - Queens,Ps 7 Louis F Simeone
6,"160 East 120th Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Ps 7 Samuel Stern
6,"333 East 4th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,Ps 15 Roberto Clemente
6,"1750 Amsterdam Avenue, New York, NY 10031",Nyc Geog District # 6 - Manhattan,Ps 153 Adam Clayton Powell
6,"306 Fort Washington Avenue, New York, NY 10033",Nyc Geog District # 6 - Manhattan,Ps 173
6,"349 Cabrini Boulevard, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Ps Is 187 Hudson Cliffs
6,"500 West 138th Street, New York, NY 10031",Nyc Geog District # 6 - Manhattan,Ps 192 Jacob H Schiff
6,"222 West 134th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Ps 92 Mary Mcleod Bethune
6,"525 West 50th Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Manhattan Bridges High School
6,"4600 Broadway, New York, NY 10040",Nyc Geog District # 6 - Manhattan,City College Academy Of The Arts
6,"610 East 12th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,The Children S Workshop School
6,"600 East 6th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,Tompkins Square Middle School
6,"21 Jumel Place, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ms 319 Marie Teresa
6,"222 West 134th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Democracy Preparatory Charter School
6,"145 West 84th Street, New York, NY 10024",Nyc Geog District # 3 - Manhattan,Frank Mccourt High School
6,"147 Saint Nicholas Avenue, New York, NY 10026",Nyc Geog District # 3 - Manhattan,Harlem Hebrew Language Academy
6,"1573 Madison Avenue, New York, NY 10029",Nyc Geog District # 4 - Manhattan,E Harlem Scholars Acad Charter School
6,"311 West 120th Street, New York, NY 10027",Nyc Geog District # 3 - Manhattan,New York French American Charter School
6,"500 West 138th Street, New York, NY 10031",Nyc Geog District # 6 - Manhattan,HAMILTON GRANGE MIDDLE SCHOOL
5,"345 East 15th Street, New York, NY 10003",Nyc Geog District # 2 - Manhattan,High School for Health Professions & Human Services
5,"100 Trinity Place, New York, NY 10006",Nyc Geog District # 2 - Manhattan,High School Of Economics And Finance
5,"123 West 43rd Street, New York, NY 10036",Nyc Geog District # 2 - Manhattan,Repertory Company High School for Theatre Arts
5,"131 Avenue of the Americas, New York, NY 10013",Nyc Geog District # 2 - Manhattan,Chelsea Career And Technical Education High School
5,"219 East 109th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,The Bilingual Bicultural School
5,"32 West 92nd Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ps 84 Lilian Weber
5,"440 West 53rd Street, New York, NY 10019",Nyc Geog District # 2 - Manhattan,Ps 111 Adolph S Ochs
5,"100 Attorney Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,Ps 142 Amalia Castro
5,"150 West 105th Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ps 145 The Bloomingdale School
5,"503 West 152nd Street, New York, NY 10031",Nyc Geog District # 6 - Manhattan,Ps Is 210 21st Century Academy For Community Lders
5,"12 Ellwood Street, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Professor Juan Bosch Public School
5,"175 West 134th Street, New York, NY 10030",Nyc Geog District # 5 - Manhattan,Ps 175 Henry H Garnet
5,"240 2nd Avenue, New York, NY 10003",Nyc Geog District # 2 - Manhattan,Manhattan Comprehensive Night And Day High School
5,"240 East 123rd Street, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Harlem Day Charter School
5,"154 West 93rd Street, New York, NY 10025",Nyc Geog District # 3 - Manhattan,Ms 256 Academic And Athletic Excellence
5,"200 Monroe Street, New York, NY 10002",Nyc Geog District # 1 - Manhattan,University Neighborhood High School
5,"99 Terrace View Avenue, New York, NY 10463",Nyc Geog District #10 - Bronx,Marble Hill High School of International Studies
5,"350 Grand Street, New York, NY 10002",Nyc Geog District # 2 - Manhattan,New Design High School
5,"219 East 109th Street, New York, NY 10029",Nyc Geog District # 4 - Manhattan,Ps 83 Luis Munoz Rivera
5,"282 West 151st Street, New York, NY 10039",Nyc Geog District # 5 - Manhattan,Thurgood Marshall Academy Lower School
5,"4600 Broadway, New York, NY 10040",Nyc Geog District # 6 - Manhattan,Middle School 322
5,"600 East 6th Street, New York, NY 10009",Nyc Geog District # 1 - Manhattan,Earth School
5,"134 West 122nd Street, New York, NY 10027",Nyc Geog District # 3 - Manhattan,Future Leaders Institute Charter School
5,"2351 1st Avenue, New York, NY 10035",Nyc Geog District # 4 - Manhattan,Harlem Village Academy Leadership Middle School
5,"4862 Broadway, New York, NY 10034",Nyc Geog District # 6 - Manhattan,Amistad Dual Language School
5,"21 Jumel Place, New York, NY 10032",Nyc Geog District # 6 - Manhattan,Ms 324 Patria Mirabal
