city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
Peru,Clinton,Peru Central School District,K-12,0,1,1,0,501st,519,18,0.484,2
White Plains,Westchester,White Plains City School District,K-12,0,5,1,1,502nd,505,3,0.479,2
Star Lake,St. Lawrence,Clifton-Fine Central School District,"PK, KG-12",0,1,1,0,503rd,475,28,0.479,2
Grahamsville,Sullivan,Tri-Valley Central School District,"PK, KG-12",0,1,1,0,504th,512,8,0.479,2
Waterloo,Seneca,Waterloo Central School District,"PK, KG-12",0,2,1,1,505th,447,58,0.479,2
Phoenix,Oswego,Phoenix Central School District,"PK, KG-12",0,1,1,1,506th,499,7,0.479,2
Accord,Ulster,Rondout Valley Central School District,"PK, KG-12",0,3,1,1,507th,533,26,0.478,2
North Tonawanda,Niagara,North Tonawanda City School District,K-12,0,4,1,1,508th,473,35,0.477,2
Bronx,Bronx,Bronx Charter School For Children (The),K-5,0,1,0,0,509th,584,75,0.477,2
La Fayette,Onondaga,Lafayette Central School District,"PK, KG-12",0,2,1,0,510th,436,74,0.477,2
Palmyra,Wayne,Palmyra-Macedon Central School District,"PK, KG-12",0,2,1,1,511th,515,4,0.475,2
Hancock,Delaware,Hancock Central School District,"PK, KG-12",1,1,0,0,512th,445,67,0.474,2
Dryden,Tompkins,Dryden Central School District,"PK, KG-12",0,3,1,1,513th,496,17,0.474,2
Cincinnatus,Cortland,Cincinnatus Central School District,"PK, KG-12",0,1,1,1,514th,484,30,0.472,2
Ogdensburg,St. Lawrence,Ogdensburg City School District,"PK, KG-12",0,2,1,0,515th,424,91,0.469,2
Rochester,Monroe,Gates-Chili Central School District,"PK, KG-12",0,4,1,1,516th,488,28,0.469,2
Brooklyn,Kings,Brooklyn Urban Garden Charter School,6-8,0,0,0,1,517th,,(n/a),0.468,2
Centereach,Suffolk,Middle Country Central School District,"PK, KG-12",0,10,2,2,518th,461,57,0.467,2
Brooklyn,Kings,New Hope Academy Charter School,K-5,0,1,0,0,519th,600,81,0.465,2
Seneca Falls,Seneca,Seneca Falls Central School District,K-12,1,1,1,1,520th,415,105,0.464,2
Hoosick Falls,Rensselaer,Hoosick Falls Central School District,"PK, KG-12",0,1,1,0,521st,373,148,0.464,2
Mexico,Oswego,Mexico Central School District,"PK, KG-12",0,3,1,1,522nd,594,72,0.464,2
Norwich,Chenango,Norwich City School District,"PK, KG-12",0,2,1,1,523rd,534,11,0.463,2
Chateaugay,Franklin,Chateaugay Central School District,"PK, KG-12",0,1,1,0,524th,329,195,0.463,2
Elmsford,Westchester,Elmsford Union Free School District,"PK, KG-12",0,2,1,0,525th,570,45,0.463,2
Catskill,Greene,Catskill Central School District,"PK, KG-12",1,1,0,1,526th,609,83,0.462,2
Frankfort,Herkimer,Frankfort-Schuyler Central School District,"PK, KG-12",0,1,1,1,527th,471,56,0.461,2
Morrisville,Madison,Morrisville-Eaton Central School District,"PK, KG-12",1,1,0,0,528th,472,56,0.461,2
Plattsburgh,Clinton,Plattsburgh City School District,"PK, KG-12",0,3,1,1,529th,527,2,0.461,2
Camden,Oneida,Camden Central School District,"PK, KG-12",0,3,1,1,530th,413,117,0.46,2
West Chazy,Clinton,Beekmantown Central School District,"PK, KG-12",1,2,1,1,531st,543,12,0.46,2
Mc Graw,Cortland,McGraw Central School District,K-12,1,1,0,0,532nd,535,3,0.459,2
Canajoharie,Montgomery,Canajoharie Central School District,"PK, KG-12",0,1,1,1,533rd,386,147,0.459,2
Fort Montgomery,Orange,Highland Falls Central School District,"PK, KG-12",0,2,1,0,534th,434,100,0.457,2
Ticonderoga,Essex,Ticonderoga Central School District,"PK, KG-12",0,1,1,1,535th,476,59,0.456,2
Copiague,Suffolk,Copiague Union Free School District,K-12,0,4,1,1,536th,603,67,0.456,2
Newark Valley,Tioga,Newark Valley Central School District,"PK, KG-12",0,2,1,0,537th,581,44,0.454,2
Craryville,Columbia,Taconic Hills Central School District,"PK, KG-12",0,1,1,0,538th,597,59,0.452,2
Cohoes,Albany,Cohoes City School District,K-12,0,3,1,1,539th,517,22,0.452,2
Southampton,Suffolk,Southampton Union Free School District,"PK, KG-12",0,2,1,0,540th,457,83,0.452,2
Northville,Fulton,Northville Central School District,"PK, KG-12",1,1,0,0,541st,553,12,0.45,2
Franklinville,Cattaraugus,Franklinville Central School District,"PK, KG-12",0,1,1,0,542nd,449,93,0.45,2
Albion,Orleans,Albion Central School District,"PK, KG-12",0,1,1,1,543rd,481,62,0.449,2
Corinth,Saratoga,Corinth Central School District,K-12,0,1,1,1,544th,576,32,0.448,2
Ilion,Herkimer,Central Valley Central School District At Ilion-Mohawk,"PK, KG-12",0,2,1,1,545th,614,69,0.448,2
Little Falls,Herkimer,Little Falls City School District,"PK, KG-12",0,1,1,1,546th,526,20,0.447,2
Washingtonville,Orange,Washingtonville Central School District,"PK, KG-12",0,3,1,1,547th,536,11,0.446,2
Hermon,St. Lawrence,Edwards-Knox Central School District,"PK, KG-12",0,1,1,0,548th,493,55,0.444,2
Saranac Lake,Franklin,Saranac Lake Central School District,K-12,0,2,1,1,549th,511,38,0.443,2
Norwood,St. Lawrence,Norwood-Norfolk Central School District,"PK, KG-12",0,1,1,1,550th,486,64,0.443,2
Buffalo,Erie,Kenmore-Tonawanda Union Free School District,K-12,0,5,2,2,551st,546,5,0.443,2
Sinclairville,Chautauqua,Cassadaga Valley Central School District,"PK, KG-12",1,1,0,0,552nd,595,43,0.442,2
St Johnsville,Montgomery,Oppenheim-Ephratah-St. Johnsville Central School District,"PK, KG-12",0,1,1,0,553rd,563,10,0.442,2
Huntington Station,Suffolk,Huntington Union Free School District,K-12,0,5,1,2,554th,551,3,0.442,2
Boonville,Oneida,Adirondack Central School District,"PK, KG-12",0,3,1,1,555th,524,31,0.44,2
Greenville,Greene,Greenville Central School District,K-12,1,1,1,0,556th,504,52,0.44,2
New Lebanon,Columbia,New Lebanon Central School District,"PK, KG-12",0,1,1,0,557th,469,88,0.44,2
Endicott,Broome,Union-Endicott Central School District,K-12,1,4,1,1,558th,501,57,0.44,2
Brasher Falls,St. Lawrence,Brasher Falls Central School District,"PK, KG-12",0,1,1,1,559th,463,96,0.439,2
Tupper Lake,Franklin,Tupper Lake Central School District,"PK, KG-12",0,1,1,0,560th,579,19,0.439,2
Jasper,Steuben,Jasper-Troupsburg Central School District,K-12,0,1,1,0,561st,633,72,0.438,2
Fort Plain,Montgomery,Fort Plain Central School District,"PK, KG-12",0,1,1,0,562nd,433,129,0.437,1
North Collins,Erie,North Collins Central School District,"PK, KG-12",0,1,1,0,563rd,229,334,0.437,1
Port Jefferson Station,Suffolk,Brookhaven-Comsewogue Union Free School District,K-12,0,4,1,1,564th,560,4,0.436,1
Elmira Heights,Chemung,Elmira Heights Central School District,"PK, KG-12",0,1,1,1,565th,497,68,0.433,1
Liverpool,Onondaga,Liverpool Central School District,K-12,0,9,1,3,566th,502,64,0.432,1
Angola,Erie,Evans-Brant Central School District (Lake Shore),K-12,0,3,1,1,567th,548,19,0.432,1
Brooklyn,Kings,Brooklyn Excelsior Charter School,K-8,0,1,0,0,568th,649,81,0.43,1
Carthage,Jefferson,Carthage Central School District,K-12,0,3,1,1,569th,491,78,0.43,1
Freeport,Nassau,Freeport Union Free School District,K-12,0,5,1,2,570th,607,37,0.429,1
Lyndonville,Orleans,Lyndonville Central School District,"PK, KG-12",0,1,1,0,571st,522,49,0.428,1
Bolivar,Allegany,Bolivar-Richburg Central School District,"PK, KG-12",1,1,0,0,572nd,587,15,0.426,1
Schoharie,Schoharie,Schoharie Central School District,"PK, KG-12",0,1,1,0,573rd,452,121,0.425,1
Dover Plains,Dutchess,Dover Union Free School District,K-12,0,2,1,1,574th,550,24,0.424,1
Sherburne,Chenango,Sherburne-Earlville Central School District,"PK, KG-12",0,1,1,1,575th,556,19,0.422,1
East Syracuse,Onondaga,East Syracuse Minoa Central School District,"PK, KG-12",0,5,1,1,576th,495,81,0.422,1
Odessa,Schuyler,Odessa-Montour Central School District,"PK, KG-12",0,2,1,0,577th,599,22,0.42,1
Newfield,Tompkins,Newfield Central School District,"PK, KG-12",0,1,1,1,578th,508,70,0.419,1
New Berlin,Chenango,Unadilla Valley Central School District,"PK, KG-12",1,1,0,0,579th,555,24,0.419,1
Wolcott,Wayne,North Rose-Wolcott Central School District,"PK, KG-12",0,1,1,1,580th,640,60,0.419,1
Garnerville,Rockland,Haverstraw-Stony Point Central School District (North Rockl,K-12,0,6,1,1,581st,540,41,0.418,1
Sidney,Delaware,Sidney Central School District,"PK, KG-12",0,1,1,1,582nd,523,59,0.418,1
Bay Shore,Suffolk,Bay Shore Union Free School District,K-12,0,5,1,1,583rd,618,35,0.417,1
Warrensburg,Warren,Warrensburg Central School District,"PK, KG-12",0,1,1,0,584th,564,20,0.416,1
New York,New York,Great Oaks Charter School,6-8,0,0,0,1,585th,,(n/a),0.416,1
South Dayton,Cattaraugus,Pine Valley Central School District (South Dayton),"PK, KG-12",0,1,1,0,586th,531,55,0.415,1
Ozone Park,Queens,New York City Geographic District #27,"PK, KG-12",5,38,10,9,587th,557,30,0.412,1
Brooklyn,Kings,La Cima Charter School,K-5,0,1,0,0,588th,683,95,0.41,1
Coxsackie,Greene,Coxsackie-Athens Central School District,K-12,0,2,1,1,589th,423,166,0.409,1
Fort Edward,Washington,Hudson Falls Central School District,"PK, KG-12",0,3,1,1,590th,568,22,0.409,1
New York,New York,Harbor Science And Arts Charter School,K-8,0,1,0,0,591st,296,295,0.408,1
Cherry Plain,Rensselaer,Berlin Central School District,"PK, KG-12",1,1,0,0,592nd,559,33,0.408,1
Holley,Orleans,Holley Central School District,"PK, KG-12",0,1,1,0,593rd,537,56,0.407,1
Port Jervis,Orange,Port Jervis City School District,K-12,0,2,1,1,594th,601,7,0.407,1
Amenia,Dutchess,Northeast Central School District,"PK, KG-12",0,2,1,0,595th,588,7,0.405,1
West Winfield,Herkimer,Mount Markham Central School District,"PK, KG-12",0,1,1,1,596th,605,9,0.404,1
Brooklyn,Kings,Bedford Stuyvesant New Beginnings Charter School,K-8,0,1,0,0,597th,695,98,0.404,1
Staten Island,Richmond,New World Preparatory Charter School,6-8,0,0,0,1,598th,406,192,0.402,1
Olean,Cattaraugus,Olean City School District,"PK, KG-12",0,3,1,0,599th,494,105,0.4,1
Wyoming,Wyoming,Wyoming Central School District,K-8,0,1,0,0,600th,653,53,0.399,1
Sloan,Erie,Cheektowaga-Sloan Union Free School District,"PK, KG-12",0,2,1,1,601st,593,8,0.399,1
Bronx,Bronx,University Prep Charter High School,9-12,0,0,1,0,602nd,631,29,0.397,1
Springfield Gardens,Queens,Merrick Academy-Queens Public Charter School,K-5,0,1,0,0,603rd,574,29,0.395,1
Pulaski,Oswego,Pulaski Central School District,"PK, KG-12",0,1,1,1,604th,552,52,0.395,1
Ovid,Seneca,South Seneca Central School District,"PK, KG-12",1,1,0,0,605th,596,9,0.394,1
Hartsdale,Westchester,Greenburgh Central School District,"PK, KG-12",0,4,1,1,606th,545,61,0.393,1
Lockport,Niagara,Lockport City School District,K-12,0,4,2,2,607th,516,91,0.391,1
Johnson City,Broome,Johnson City Central School District,K-12,0,2,1,1,608th,619,11,0.387,1
Johnstown,Fulton,Johnstown City School District,"PK, KG-12",0,3,1,1,609th,577,32,0.386,1
Brooklyn,Kings,Brooklyn Laboratory Charter School,6-8,0,0,0,1,610th,,(n/a),0.382,1
Watervliet,Albany,Watervliet City School District,"PK, KG-12",0,1,1,0,611th,677,66,0.38,1
Hastings On Hudson,Westchester,Greenburgh-Graham Union Free School District,K-12,2,0,1,0,612th,729,117,0.38,1
Watertown,Jefferson,Watertown City School District,K-12,0,5,1,2,613th,580,33,0.379,1
Buffalo,Erie,Western New York Maritime Charter School,7-12,0,0,1,0,614th,528,86,0.378,1
Cortland,Cortland,Cortland City School District,K-12,0,5,1,0,615th,585,30,0.378,1
Brocton,Chautauqua,Brocton Central School District,"PK, KG-12",1,1,0,0,616th,573,43,0.376,1
Hyde Park,Dutchess,Hyde Park Central School District,K-12,0,4,1,1,617th,615,2,0.375,1
Brooklyn,Kings,Hyde Leadership Charter School - Brooklyn,K-5,0,1,0,0,618th,608,10,0.373,1
Oswego,Oswego,Oswego City School District,K-12,0,5,1,1,619th,547,72,0.371,1
Brooklyn,Kings,Explore Excel Charter School,K-8,0,1,0,0,620th,647,27,0.369,1
Cedarhurst,Nassau,Lawrence Union Free School District,"PK, KG-12",0,3,1,1,621st,554,67,0.368,1
Kingston,Ulster,Kingston City School District,"PK, KG-12",0,7,1,2,622nd,634,12,0.368,1
Whitehall,Washington,Whitehall Central School District,"PK, KG-12",1,1,0,0,623rd,690,67,0.366,1
Glen Cove,Nassau,Glen Cove City School District,"PK, KG-12",0,4,1,1,624th,621,3,0.365,1
Marathon,Cortland,Marathon Central School District,"PK, KG-12",0,1,1,0,625th,558,67,0.364,1
Southampton,Suffolk,Tuckahoe Common School District,"PK, KG-8",0,1,0,0,626th,686,60,0.362,1
Addison,Steuben,Addison Central School District,"PK, KG-12",1,2,0,0,627th,575,52,0.361,1
Rochester,Monroe,East Irondequoit Central School District,"PK, KG-12",0,4,1,1,628th,637,9,0.359,1
Buffalo,Erie,West Buffalo Charter School,K-5,0,1,0,0,629th,613,16,0.358,1
Hampton Bays,Suffolk,Hampton Bays Union Free School District,"PK, KG-12",1,1,0,1,630th,565,65,0.357,1
Bronx,Bronx,Bglig-Shirley Rodriguez-Remeneski Charter School,K-8,0,1,0,0,631st,370,261,0.354,1
Sodus,Wayne,Sodus Central School District,"PK, KG-12",0,2,1,0,632nd,610,22,0.353,1
Far Rockaway,Queens,Challenge Preparatory Charter School,K-7,0,1,0,0,633rd,399,234,0.353,1
Gowanda,Cattaraugus,Gowanda Central School District,"PK, KG-12",0,1,1,1,634th,583,51,0.352,1
Port Chester,Westchester,Port Chester-Rye Union Free School District,K-12,0,4,1,1,635th,592,43,0.352,1
New York,New York,John V Lindsay Wildcat Academy Charter School,9-12,0,0,1,0,636th,525,111,0.351,1
Middletown,Orange,Middletown City School District,K-12,0,3,1,2,637th,672,35,0.349,1
Ossining,Westchester,Ossining Union Free School District,"PK, KG-12",0,3,1,2,638th,652,14,0.348,1
Brooklyn,Kings,New York City Geographic District #13,"PK, KG-12",2,19,14,6,639th,620,19,0.347,1
Mastic Beach,Suffolk,William Floyd Union Free School District,K-12,0,5,1,2,640th,611,29,0.345,1
New York,New York,Future Leaders Institute Charter School,K-8,0,1,0,0,641st,666,25,0.345,1
Brooklyn,Kings,Math Engineering And Science Academy Charter High School,9-12,0,0,1,0,642nd,669,27,0.344,1
New York,New York,New York City Geographic District # 4,"PK, KG-12",2,20,5,4,643rd,628,15,0.343,1
Brooklyn,Kings,New York City Geographic District #14,"PK, KG-12",3,20,11,5,644th,658,14,0.34,1
Canastota,Madison,Canastota Central School District,"PK, KG-12",0,3,1,0,645th,542,103,0.338,1
Fulton,Oswego,Fulton City School District,K-12,0,4,1,1,646th,571,75,0.338,1
Solvay,Onondaga,Solvay Union Free School District,"PK, KG-12",0,2,1,0,647th,641,6,0.337,1
Dunkirk,Chautauqua,Dunkirk City School District,"PK, KG-12",0,5,1,0,648th,638,10,0.335,1
Queens Village,Queens,New York City Geographic District #29,"PK, KG-12",4,28,7,7,649th,622,27,0.334,1
Brooklyn,Kings,Community Partnership Charter School,K-8,0,1,0,0,650th,626,24,0.331,1
Brooklyn,Kings,Invictus Preparatory Charter School,5-8,0,0,0,1,651st,697,46,0.328,1
Harpursville,Broome,Harpursville Central School District,"PK, KG-12",0,1,1,0,652nd,578,74,0.327,1
Liberty,Sullivan,Liberty Central School District,"PK, KG-12",1,1,0,0,653rd,632,21,0.326,1
Yonkers,Westchester,Yonkers City School District,"PK, KG-12",1,31,7,1,654th,671,17,0.326,1
Bronx,Bronx,New York City Geographic District #11,"PK, KG-12",0,31,17,15,655th,660,5,0.324,1
Herkimer,Herkimer,Herkimer Central School District,"PK, KG-12",0,1,1,0,656th,589,67,0.319,1
New York,New York,New York City Geographic District # 6,"PK, KG-12",4,26,7,11,657th,659,2,0.319,1
Harrisville,Lewis,Harrisville Central School District,"PK, KG-12",0,1,1,0,658th,562,96,0.319,1
Auburn,Cayuga,Auburn City School District,K-12,0,5,1,1,659th,656,3,0.316,1
Malone,Franklin,Malone Central School District,"PK, KG-12",0,3,1,1,660th,643,17,0.316,1
Troy,Rensselaer,Lansingburgh Central School District,"PK, KG-12",0,2,1,1,661st,625,36,0.316,1
Glens Falls,Warren,Glens Falls Common School District,K-6,0,1,0,0,662nd,741,79,0.315,1
Bronx,Bronx,Bronx Community Charter School,K-7,0,1,0,0,663rd,700,37,0.315,1
Niagara Falls,Niagara,Niagara Falls City School District,"PK, KG-12",0,8,1,2,664th,676,12,0.312,1
Waverly,Tioga,Waverly Central School District,"PK, KG-12",0,2,1,1,665th,602,63,0.312,1
Brooklyn,Kings,Teaching Firms Of America Pro Prep,K-6,0,1,0,0,666th,630,36,0.311,1
Buffalo,Erie,South Buffalo Charter School,K-8,0,1,0,0,667th,616,51,0.31,1
Dundee,Yates,Dundee Central School District,"PK, KG-12",1,0,1,0,668th,627,41,0.31,1
Brooklyn,Kings,Cultural Arts Academy Charter School At Spring Creek,K-5,0,1,0,0,669th,642,27,0.309,1
Albany,Albany,Brighter Choice Charter School For Boys,K-5,0,1,0,0,670th,359,311,0.308,1
Afton,Chenango,Afton Central School District,"PK, KG-12",0,1,1,0,671st,673,2,0.308,1
Walton,Delaware,Walton Central School District,"PK, KG-12",0,1,1,1,672nd,623,49,0.308,1
Rensselaer,Rensselaer,Rensselaer City School District,"PK, KG-12",0,1,1,0,673rd,667,6,0.306,1
Groton,Tompkins,Groton Central School District,"PK, KG-12",1,1,0,0,674th,635,39,0.304,1
Brooklyn,Kings,New York City Geographic District #17,"PK, KG-12",5,22,14,9,675th,661,14,0.304,1
Buffalo,Erie,King Center Charter School,K-8,0,1,0,0,676th,680,4,0.303,1
Bronx,Bronx,Metropolitan Lighthouse Charter School,K-8,0,1,0,0,677th,,(n/a),0.301,1
Syracuse,Onondaga,Southside Academy Charter School,K-8,0,1,0,0,678th,726,48,0.301,1
Brooklyn,Kings,New Dawn Charter High School,9-12,0,0,1,0,679th,756,77,0.301,1
Rome,Oneida,Rome City School District,"PK, KG-12",0,7,1,2,680th,617,63,0.3,1
Brushton,Franklin,Brushton-Moira Central School District,"PK, KG-12",1,1,0,0,681st,675,6,0.299,1
Bronx,Bronx,New Visions Charter High School-Adv Ma/Sci II,9-12,0,0,1,0,682nd,663,19,0.299,1
Newburgh,Orange,Newburgh City School District,"PK, KG-12",0,9,1,2,683rd,682,1,0.298,1
Brooklyn,Kings,Explore Empower Charter School,K-8,0,1,0,0,684th,654,30,0.298,1
Brooklyn,Kings,New Visions Charter High School-Adv Ma/Sci III,9-12,0,0,1,0,685th,678,7,0.297,1
Newark,Wayne,Newark Central School District,"PK, KG-12",0,3,1,1,686th,639,47,0.296,1
New York,New York,East Harlem Scholars Academy Charter School II,"PK, KG-4",0,1,0,0,687th,,(n/a),0.296,1
Clyde,Wayne,Clyde-Savannah Central School District,"PK, KG-12",0,1,1,1,688th,655,33,0.295,1
Parish,Oswego,Altmar-Parish-Williamstown Central School District,"PK, KG-12",0,1,1,0,689th,644,45,0.294,1
Brooklyn,Kings,Explore Charter School,K-8,0,1,0,0,690th,604,86,0.293,1
Lyons,Wayne,Lyons Central School District,"PK, KG-12",0,1,1,1,691st,650,41,0.292,1
Gouverneur,St. Lawrence,Gouverneur Central School District,"PK, KG-12",1,2,0,0,692nd,646,46,0.29,1
Hornell,Steuben,Hornell City School District,K-12,1,2,1,1,693rd,636,57,0.286,1
Old Westbury,Nassau,Westbury Union Free School District,"PK, KG-12",0,4,2,1,694th,681,13,0.285,1
Bronx,Bronx,New York City Geographic District #10,"PK, KG-12",5,42,24,14,695th,668,27,0.282,1
Cairo,Greene,Cairo-Durham Central School District,K-12,0,1,1,1,696th,648,48,0.282,1
Greenport,Suffolk,Greenport Union Free School District,"PK, KG-12",0,1,1,0,697th,425,272,0.281,1
Bronx,Bronx,Nyc Charter High School - Aeci,9-12,0,0,1,0,698th,699,1,0.274,1
New York,New York,Broome Street Academy Charter High School,9-12,0,0,1,0,699th,707,8,0.27,1
Brooklyn,Kings,New York City Geographic District #18,"PK, KG-12",0,13,14,8,700th,688,12,0.27,1
Jamestown,Chautauqua,Jamestown City School District,"PK, KG-12",1,5,1,2,701st,662,39,0.269,1
Port Byron,Cayuga,Port Byron Central School District,"PK, KG-12",0,1,1,0,702nd,566,136,0.267,1
Syracuse,Onondaga,Lyncourt Union Free School District,"PK, KG-8",0,1,0,0,703rd,651,52,0.264,1
Caroga Lake,Fulton,Wheelerville Union Free School District,"PK, KG-8",0,1,0,0,704th,606,98,0.263,1
New York,New York,Harlem Link Charter School,"PK, KG-5",0,1,0,0,705th,716,11,0.261,1
Hannibal,Oswego,Hannibal Central School District,"PK, KG-12",0,1,1,1,706th,657,49,0.26,1
Mount Vernon,Westchester,Mount Vernon School District,"PK, KG-12",0,11,3,2,707th,703,4,0.257,1
Roosevelt,Nassau,Roosevelt Children's Academy Charter School,K-8,0,1,0,0,708th,693,15,0.257,1
New York,New York,Manhattan Charter School II,K-5,0,1,0,0,709th,358,351,0.256,1
Troy,Rensselaer,Troy City School District,"PK, KG-12",0,5,2,1,710th,696,14,0.255,1
Patchogue,Suffolk,Patchogue-Medford Union Free School District,K-12,0,7,1,3,711th,645,66,0.254,1
Brooklyn,Kings,New York City Geographic District #32,"PK, KG-12",2,13,6,6,712th,698,14,0.251,1
Candor,Tioga,Candor Central School District,K-12,0,1,1,0,713th,670,43,0.249,1
Gloversville,Fulton,Gloversville City School District,"PK, KG-12",0,4,1,1,714th,704,10,0.242,1
East Patchogue,Suffolk,South Country Central School District,"PK, KG-12",0,4,1,1,715th,692,23,0.242,1
Bronx,Bronx,New York City Geographic District # 8,"PK, KG-12",3,22,18,13,716th,711,5,0.24,1
Geneva,Ontario,Geneva City School District,"PK, KG-12",0,2,1,1,717th,679,38,0.24,1
Albany,Albany,Albany Leadership Charter High School For Girls,9-12,0,0,1,0,718th,674,44,0.239,1
Brooklyn,Kings,New York City Geographic District #16,"PK, KG-12",1,14,6,5,719th,665,54,0.239,1
Mount Vernon,Westchester,Amani Public Charter School,5-8,0,0,0,1,720th,590,130,0.238,1
Fort Covington,Franklin,Salmon River Central School District,"PK, KG-12",0,2,1,1,721st,694,27,0.236,1
Ellenville,Ulster,Ellenville Central School District,"PK, KG-12",0,1,1,1,722nd,684,38,0.233,0
New York,New York,Global Community Charter School,K-5,0,1,0,0,723rd,,(n/a),0.231,0
Monticello,Sullivan,Monticello Central School District,K-12,0,3,1,1,724th,687,37,0.231,0
Hudson,Columbia,Hudson City School District,"PK, KG-12",0,2,1,1,725th,689,36,0.228,0
Brooklyn,Kings,Northside Charter High School,9-12,0,0,1,0,726th,739,13,0.224,0
New York,New York,New York City Geographic District # 5,"PK, KG-12",4,16,6,3,727th,708,19,0.223,0
Bronx,Bronx,New Visions Charter High School For The Humanities,9-12,0,0,1,0,728th,664,64,0.219,0
Northville,Fulton,Edinburg Common School District,"PK, KG-6",0,1,0,0,729th,722,7,0.217,0
Riverhead,Suffolk,Riverhead Central School District,K-12,0,4,2,2,730th,685,45,0.217,0
Buffalo,Erie,Oracle Charter School,9-12,0,0,1,0,731st,746,15,0.216,0
Bronx,Bronx,New York City Geographic District # 9,"PK, KG-12",8,30,16,16,732nd,714,18,0.216,0
Staten Island,Richmond,New Ventures Charter School,9-12,0,0,1,0,733rd,,(n/a),0.215,0
Brooklyn,Kings,Williamsburg Charter High School,9-12,0,0,1,0,734th,712,22,0.214,0
New York,New York,St. Hope Leadership Academy Charter School,6-8,0,0,0,1,735th,752,17,0.211,0
Bronx,Bronx,Heketi Community Charter School,K-5,0,1,0,0,736th,629,107,0.211,0
Central Islip,Suffolk,Central Islip Union Free School District,"PK, KG-12",0,5,1,2,737th,702,35,0.211,0
Cheektowaga,Erie,Cheektowaga Central School District,"PK, KG-12",1,1,1,1,738th,723,15,0.209,0
Bronx,Bronx,Atmosphere Academy Public Charter School,6-7,0,0,0,1,739th,,(n/a),0.201,0
Brentwood,Suffolk,Brentwood Union Free School District,"PK, KG-12",1,11,1,4,740th,717,23,0.2,0
Brooklyn,Kings,Launch Expeditionary Learning Charter School,6-8,0,0,0,1,741st,734,7,0.197,0
Albany,Albany,Green Technical High Charter School,9-12,0,0,1,0,742nd,727,15,0.196,0
Spring Valley,Rockland,East Ramapo Central School District (Spring Valley),K-12,0,10,2,2,743rd,724,19,0.195,0
Utica,Oneida,Utica City School District,K-12,0,10,1,2,744th,701,43,0.191,0
Brooklyn,Kings,New York City Geographic District #23,"PK, KG-12",2,15,5,7,745th,718,27,0.189,0
Albany,Albany,Albany Community Charter School,K-8,0,1,0,0,746th,740,6,0.188,0
Bronx,Bronx,New York City Geographic District # 7,"PK, KG-12",4,17,15,6,747th,713,34,0.187,0
Peekskill,Westchester,Peekskill City School District,"PK, KG-12",0,4,1,1,748th,720,28,0.185,0
Jamaica,Queens,New Visions Charter High School-Adv Ma/Sci IV,9-12,0,0,1,0,749th,,(n/a),0.184,0
