city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
Salamanca,Cattaraugus,Salamanca City School District,"PK, KG-12",0,2,1,0,750th,709,41,0.184,0
Brooklyn,Kings,New York City Geographic District #19,"PK, KG-12",4,22,11,12,751st,721,30,0.183,0
Brooklyn,Kings,Explore Exceed Charter School,K-7,0,1,0,0,752nd,748,4,0.179,0
Elmira,Chemung,Elmira City School District,"PK, KG-12",1,8,1,1,753rd,706,47,0.175,0
Bronx,Bronx,Technical International Charter School,6-8,0,0,0,1,754th,737,17,0.174,0
Hempstead,Nassau,Hempstead Union Free School District,"PK, KG-12",1,8,1,0,755th,742,13,0.174,0
Mount Morris,Livingston,Mount Morris Central School District,"PK, KG-12",0,1,1,0,756th,715,41,0.172,0
Fallsburg,Sullivan,Fallsburg Central School District,"PK, KG-12",0,1,1,0,757th,719,38,0.167,0
Buffalo,Erie,Buffalo City School District,"PK, KG-12",8,36,15,1,758th,738,20,0.162,0
Buffalo,Erie,Buffalo United Charter School,K-8,0,1,0,0,759th,705,54,0.159,0
Rochester,Monroe,Rochester Academy Charter School,7-12,0,0,1,0,760th,735,25,0.157,0
Binghamton,Broome,Binghamton City School District,"PK, KG-12",0,7,1,2,761st,744,17,0.147,0
Amsterdam,Montgomery,Amsterdam City School District,"PK, KG-12",0,4,1,1,762nd,730,32,0.146,0
Roosevelt,Nassau,Roosevelt Union Free School District,"PK, KG-12",0,3,1,1,763rd,743,20,0.143,0
Albany,Albany,Henry Johnson Charter School,K-4,0,1,0,0,764th,751,13,0.141,0
Rochester,Monroe,Urban Choice Charter School,K-8,0,1,0,0,765th,725,40,0.139,0
Brooklyn,Kings,New American Academy Charter School (The),K-4,0,1,0,0,766th,,(n/a),0.134,0
Buffalo,Erie,Health Sciences Charter School,9-12,0,0,1,0,767th,691,76,0.133,0
Bronx,Bronx,New York City Geographic District #12,"PK, KG-12",4,22,13,11,768th,747,21,0.132,0
Wyandanch,Suffolk,Wyandanch Union Free School District,"PK, KG-12",0,2,1,1,769th,753,16,0.131,0
Albany,Albany,Albany City School District,"PK, KG-12",1,12,1,3,770th,736,34,0.131,0
Bronx,Bronx,Mott Hall Charter School,6-8,0,0,0,1,771st,710,61,0.131,0
Albany,Albany,Brighter Choice Charter School For Girls,K-5,0,1,0,0,772nd,624,148,0.129,0
Bronx,Bronx,New Visions Charter High School-Adv Math/Scie,9-12,0,0,1,0,773rd,758,15,0.121,0
Brooklyn,Kings,Citizens Of The World Charter School New York 1,K-4,0,1,0,0,774th,,(n/a),0.119,0
Schenectady,Schenectady,Schenectady City School District,"PK, KG-12",0,11,1,3,775th,750,25,0.115,0
Buffalo,Erie,Aloma D Johnson Charter School,K-4,0,1,0,0,776th,733,43,0.113,0
Rochester,Monroe,Renaissance Academy Charter School Of The Arts,K-4,0,1,0,0,777th,,(n/a),0.11,0
Buffalo,Erie,Westminster Community Charter School,K-8,0,1,0,0,778th,731,47,0.11,0
Rochester,Monroe,Discovery Charter School,K-6,0,1,0,0,779th,728,51,0.109,0
Amityville,Suffolk,Amityville Union Free School District,"PK, KG-12",1,3,1,0,780th,732,48,0.106,0
Lackawanna,Erie,Lackawanna City School District,"PK, KG-12",0,2,1,1,781st,745,36,0.105,0
Poughkeepsie,Dutchess,Poughkeepsie City School District,"PK, KG-12",0,6,1,1,782nd,757,25,0.103,0
Rochester,Monroe,University Preparatory Charter School For Young Men,7-12,0,0,1,0,783rd,749,34,0.1,0
Brooklyn,Kings,New Visions Charter High School For The Humanities III,9-12,0,0,1,0,784th,754,30,0.097,0
Syracuse,Onondaga,Syracuse City School District,"PK, KG-12",10,17,7,0,785th,755,30,0.091,0
Canaan,Columbia,Berkshire Union Free School District,7-12,0,0,2,0,786th,770,16,0.088,0
Buffalo,Erie,Enterprise Charter School,K-8,0,1,0,0,787th,760,27,0.086,0
Rochester,Monroe,Puc Achieve Charter School,5-7,0,0,0,1,788th,,(n/a),0.071,0
Brooklyn,Kings,Citizens Of The World Charter School 2,K-4,0,1,0,0,789th,,(n/a),0.07,0
New York,New York,Rensaissance Charter High School For Innovation,9-12,0,0,1,0,790th,766,24,0.053,0
Rochester,Monroe,Rochester City School District,"PK, KG-12",3,35,13,1,791st,762,29,0.052,0
Bronx,Bronx,New York City Montessori Charter School,"PK, KG-5",0,1,0,0,792nd,763,29,0.048,0
Elmira,Chemung,Finn Academy-An Elmira Charter School,K-4,0,1,0,0,793rd,,(n/a),0.046,0
Bronx,Bronx,South Bronx Early College Academy Charter School,6-7,0,0,0,1,794th,,(n/a),0.045,0
Bronx,Bronx,New Visions Charter High School For Humanities II,9-12,0,0,1,0,795th,759,36,0.039,0
Dobbs Ferry,Westchester,Greenburgh Eleven Union Free School District,K-12,1,1,1,0,796th,769,27,0.015,0
Newburgh,Orange,Newburgh Preparatory Charter High School,9-12,0,0,1,0,797th,761,36,0.013,0
Rochester,Monroe,Rochester Career Mentoring Charter School,9-12,0,0,1,0,798th,765,33,0.011,0
Brooklyn,Kings,Urban Dove Team Charter School,9-12,0,0,1,0,799th,764,35,0.006,0
Bronx,Bronx,Roads Charter School II,9-12,0,0,1,0,800th,767,33,0.005,0
Brooklyn,Kings,Roads Charter School 1,9-12,0,0,1,0,801st,768,33,0.002,0
Rochester,Monroe,Young Women's College Prep Charter School Of Rochester,7-11,1,0,0,0,,,(n/a),,0
Buffalo,Erie,Tapestry Charter School,K-12,1,0,0,0,,,(n/a),,0
Irvington,Westchester,Abbott Union Free School District,,0,0,0,0,,,(n/a),,0
New York,New York,Harlem Village Academy Charter School,K-12,1,0,0,0,,,(n/a),,0
Sackets Harbor,Jefferson,Sackets Harbor Central School District,K-12,1,0,0,0,,,(n/a),,0
New York,New York,Harlem Prep Charter School,K-9,1,0,0,0,,,(n/a),,0
Sagaponack,Suffolk,Sagaponack Common School District,K-3,0,1,0,0,,,(n/a),,0
New York,New York,Harlem Children's Zone Promise Academy II Charter School,K-12,1,0,0,0,,,(n/a),,0
Saint Regis Falls,Franklin,Saint Regis Falls Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New York,New York,Harlem Children's Zone Promise Academy Charter School,K-12,1,0,0,0,,,(n/a),,0
Bronx,Bronx,Rosalyn Yalow Charter School,K-2,0,1,0,0,,,(n/a),,0
Hammond,St. Lawrence,Hammond Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
West Nyack,Rockland,Rockland Boces,,1,0,0,0,,,(n/a),,0
Johnstown,Fulton,Hamilton-Fulton-Montgomery Boces,,1,0,0,0,,,(n/a),,0
Castleton,Rensselaer,Rensselaer-Columbia-Greene Boces,,1,0,1,0,,,(n/a),,0
Jamaica,Queens,Growing Up Green Charter School II,"PK, KG-2",0,1,0,0,,,(n/a),,0
Randolph,Cattaraugus,Randolph Academy Union Free School District,K-12,2,0,0,0,,,(n/a),,0
Ithaca,Tompkins,Tompkins-Seneca-Tioga Boces,,1,0,0,0,,,(n/a),,0
Putnam Station,Washington,Putnam Central School District,"PK, KG-6",0,1,0,0,,,(n/a),,0
Tonawanda,Erie,Tonawanda City School District,"PK, KG-12",1,3,0,0,,,(n/a),,0
Grand Gorge,Delaware,Otsego-Delaware-Schoharie-Greene Boces,,1,0,0,0,,,(n/a),,0
Old Forge,Herkimer,Town Of Webb Union Free School District,K-12,1,0,0,0,,,(n/a),,0
Schenevus,Otsego,Schenevus Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Dobbs Ferry,Westchester,Greenburgh-North Castle Union Free School District,7-12,0,0,4,0,,,(n/a),,0
Goshen,Orange,Orange-Ulster Boces,,1,0,0,0,,,(n/a),,0
Green Island,Albany,Green Island Union Free School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Schroon Lake,Essex,Schroon Lake Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Rochester,Monroe,True North Rochester Preparatory Charter School,K-11,1,0,0,0,,,(n/a),,0
New York,New York,Opportunity Charter School,6-12,1,0,0,0,,,(n/a),,0
Lackawanna,Erie,Global Concepts Charter School,K-12,1,0,0,0,,,(n/a),,0
Newark,Wayne,Ontario-Seneca-Yates-Cayuga-Wayne Boces,,1,0,0,0,,,(n/a),,0
Gilboa,Schoharie,Gilboa-Conesville Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New Hartford,Oneida,Oneida-Herkimer-Madison Boces,,1,0,0,0,,,(n/a),,0
South Otselic,Chenango,Georgetown-South Otselic Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Sharon Springs,Schoharie,Sharon Springs Central School District,K-12,1,0,0,0,,,(n/a),,0
Freeville,Tompkins,George Junior Republic Union Free School District,7-12,1,0,0,0,,,(n/a),,0
New York,New York,Nyc Special Schools - District 75,,30,15,11,1,,,(n/a),,0
Belmont,Allegany,Genesee Valley Central School District,"PK, KG-12",1,0,1,0,,,(n/a),,0
Troy,Rensselaer,North Greenbush Common School District (Williams),K-1,0,1,0,0,,,(n/a),,0
Le Roy,Genesee,Genesee Valley Boces,,1,0,0,0,,,(n/a),,0
Rome,Oneida,New York State School For The Deaf,"PK, KG-12",1,0,0,0,,,(n/a),,0
Friendship,Allegany,Friendship Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Rensselaer,Rensselaer,New York State Office Of Children And Family Services (Ocfs),6-12,7,0,4,0,,,(n/a),,0
Malone,Franklin,Franklin-Essex-Hamilton Boces,,1,0,0,0,,,(n/a),,0
Albany,Albany,New York State Department Of Corrections,,0,0,0,0,,,(n/a),,0
Brooklyn,Kings,Uft Charter School,1-12,1,0,0,0,,,(n/a),,0
New York,New York,New York Center For Autism Charter School,1-3,0,1,0,0,,,(n/a),,0
New Paltz,Ulster,Ulster Boces,,1,0,0,0,,,(n/a),,0
New York,New York,New Heights Academy Charter School,5-12,1,0,0,0,,,(n/a),,0
Franklin,Delaware,Franklin Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Pleasantville,Westchester,Mount Pleasant-Cottage Union Free School District,K-12,2,0,0,0,,,(n/a),,0
Fort Edward,Washington,Fort Edward Union Free School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Bronx,Bronx,South Bronx Classical Charter School III,K-2,0,1,0,0,,,(n/a),,0
Fishers Island,Suffolk,Fishers Island Union Free School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Morristown,St. Lawrence,Morristown Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Ocean Beach,Suffolk,Fire Island Union Free School District,"PK, KG-6",0,1,0,0,,,(n/a),,0
Spencerport,Monroe,Monroe 2-Orleans Boces,,1,0,0,0,,,(n/a),,0
Fillmore,Allegany,Fillmore Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Olmstedville,Essex,Minerva Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Unity Preparatory Charter School Of Brooklyn,6-9,1,0,0,0,,,(n/a),,0
Margaretville,Delaware,Margaretville Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Bronx,Bronx,Family Life Academy Charter School III,K-3,0,1,0,0,,,(n/a),,0
Verona,Oneida,Madison-Oneida Boces,,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Excellence Girls Charter School,K-12,1,0,0,0,,,(n/a),,0
Chaumont,Jefferson,Lyme Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Rochester,Monroe,Eugenio Maria De Hostos Charter School,K-9,1,0,0,0,,,(n/a),,0
Wading River,Suffolk,Little Flower Union Free School District,3-12,1,0,0,0,,,(n/a),,0
Angola,Erie,Erie 2-Chautauqua-Cattaraugus Boces,,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Leadership Preparatory Ocean Hill Charter School,K-11,1,0,0,0,,,(n/a),,0
Utica,Oneida,Utica Academy Of Science Charter School,6-12,1,0,0,0,,,(n/a),,0
Laurens,Otsego,Laurens Central School District,K-12,1,0,0,0,,,(n/a),,0
West Seneca,Erie,Erie 1 Boces,,1,0,0,0,,,(n/a),,0
Speculator,Hamilton,Lake Pleasant Central School District,"PK, KG-9",1,0,0,0,,,(n/a),,0
Bronx,Bronx,Equality Charter School,6-11,1,0,0,0,,,(n/a),,0
Monroe,Orange,Kiryas Joel Village Union Free School District,PK-K,0,1,0,0,,,(n/a),,0
Elizabethtown,Essex,Elizabethtown-Lewis Central School District,K-12,1,0,0,0,,,(n/a),,0
Stamford,Delaware,Stamford Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Edmeston,Otsego,Edmeston Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New York,New York,Kipp Infinity Charter School,K-12,1,0,0,0,,,(n/a),,0
Patchogue,Suffolk,Eastern Suffolk BOCES,,1,0,0,0,,,(n/a),,0
Bronx,Bronx,Storefront Academy Charter School,K-2,0,1,0,0,,,(n/a),,0
Poughkeepsie,Dutchess,Dutchess Boces,,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Success Academy Charter School - Bensonhurst,K-3,0,1,0,0,,,(n/a),,0
Bronx,Bronx,Dr Richard Izquierdo Health And Science Charter School,6-12,1,0,0,0,,,(n/a),,0
Bronx,Bronx,Success Academy Charter School - Bronx 4,K-3,0,1,0,0,,,(n/a),,0
Van Hornesville,Herkimer,Van Hornesville-Owen D Young Central School District,K-12,1,0,0,0,,,(n/a),,0
Springfield Gardens,Queens,Success Academy Charter School - Springfield Gardens,K-3,0,1,0,0,,,(n/a),,0
Rochester,Monroe,Vertus Charter School,9-11,1,0,0,0,,,(n/a),,0
Bronx,Bronx,Kipp Academy Charter School,K-12,1,0,0,0,,,(n/a),,0
Downsville,Delaware,Downsville Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Keene Valley,Essex,Keene Central School District,K-12,1,0,0,0,,,(n/a),,0
New York,New York,Democracy Preparatory Charter School,6-12,1,0,0,0,,,(n/a),,0
Staten Island,Richmond,John W Lavelle Preparatory Charter School,3-12,1,0,0,0,,,(n/a),,0
New York,New York,Democracy Prep Harlem Charter School,K-12,1,0,0,0,,,(n/a),,0
Jefferson,Schoharie,Jefferson Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New York,New York,Democracy Prep Endurance Charter School,6-10,1,0,0,0,,,(n/a),,0
New York,New York,Success Academy Charter School-Harlem 2,K-9,1,0,0,0,,,(n/a),,0
Wainscott,Suffolk,Wainscott Common School District,K-3,0,1,0,0,,,(n/a),,0
New York,New York,Success Academy Charter School-Harlem 4,K-9,1,0,0,0,,,(n/a),,0
Norwich,Chenango,Delaware-Chenango-Madison-Otsego Boces,,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,International Charter School Of New York (The),K-2,0,1,0,0,,,(n/a),,0
Crown Point,Essex,Crown Point Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Jamaica,Queens,Success Academy Charter School-Nyc 13,K-1,0,1,0,0,,,(n/a),,0
Copenhagen,Lewis,Copenhagen Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Success Academy Charter School-Nyc 8,K-1,0,1,0,0,,,(n/a),,0
Brooklyn,Kings,Coney Island Preparatory Public Charter School,K-12,1,0,0,0,,,(n/a),,0
Inlet,Hamilton,Inlet Common School District,"PK, KG-6",0,1,0,0,,,(n/a),,0
Brooklyn,Kings,Compass Charter School,K-3,0,1,0,0,,,(n/a),,0
Indian Lake,Hamilton,Indian Lake Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Colton,St. Lawrence,Colton-Pierrepont Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Liberty,Sullivan,Sullivan Boces,,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Collegiate Academy-Math-Personal Awa,6,0,0,0,1,,,(n/a),,0
Brooklyn,Kings,Summit Academy Charter School,6-12,1,0,0,0,,,(n/a),,0
Fort Edward,Washington,Washington-Saratoga-Warren-Hamilton-Essex Boces,,1,0,0,0,,,(n/a),,0
De Kalb Junction,St. Lawrence,Hermon-Dekalb Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Cobleskill,Schoharie,Cobleskill-Richmondville Central School District,"PK, KG-12",1,3,0,0,,,(n/a),,0
Syracuse,Onondaga,Syracuse Academy Of Science Charter School,K-12,1,0,0,0,,,(n/a),,0
Clymer,Chautauqua,Clymer Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New York,New York,Harlem Village Academy Leadership Charter School,K-12,1,0,0,0,,,(n/a),,0
Plattsburgh,Clinton,Clinton-Essex-Warren-Washington Boces,,1,0,0,0,,,(n/a),,0
Canton,St. Lawrence,Saint Lawrence-Lewis Boces,,1,0,0,0,,,(n/a),,0
Cherry Valley,Otsego,Cherry Valley-Springfield Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Romulus,Seneca,Romulus Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Buffalo,Erie,Charter School Of Inquiry,K-3,0,1,0,0,,,(n/a),,0
Jackson Heights,Queens,Renaissance Charter School,"PK, KG-12",1,0,0,0,,,(n/a),,0
Buffalo,Erie,Charter School For Applied Technologies,K-12,1,0,0,0,,,(n/a),,0
Prattsburgh,Steuben,Prattsburgh Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Bronx,Bronx,Charter High School For Law And Social Justice,9-10,1,0,0,0,,,(n/a),,0
Medina,Orleans,Orleans-Niagara Boces,,1,0,0,0,,,(n/a),,0
Davenport,Delaware,Charlotte Valley Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Painted Post,Steuben,Schuyler-Steuben-Chemung-Tioga-Allegany Boces,,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Central Brooklyn Ascend Charter School,K-3,0,1,0,0,,,(n/a),,0
Syracuse,Onondaga,Onondaga-Cortland-Madison Boces,,1,0,0,0,,,(n/a),,0
Auburn,Cayuga,Cayuga-Onondaga Boces,,1,0,0,0,,,(n/a),,0
Shelter Island,Suffolk,Shelter Island Union Free School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Olean,Cattaraugus,Cattaraugus-Allegany-Erie-Wyoming Boces,,1,0,0,0,,,(n/a),,0
Newcomb,Essex,Newcomb Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New York,New York,Capital Preparatory (Cp) Harlem Charter School,6-7,0,0,0,1,,,(n/a),,0
Albany,Albany,New York State Office Mental Health (Omh),1-12,10,0,0,0,,,(n/a),,0
Wells,Hamilton,Wells Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New Suffolk,Suffolk,New Suffolk Common School District,"PK, KG-6",0,1,0,0,,,(n/a),,0
Canaseraga,Allegany,Canaseraga Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Valhalla,Westchester,Mount Pleasant-Blythedale Union Free School District,K-12,1,0,0,0,,,(n/a),,0
Buffalo,Erie,Buffalo Academy Of Science Charter School,5-12,1,0,0,0,,,(n/a),,0
Morris,Otsego,Morris Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Brownsville Collegiate Charter School,5-10,1,0,0,0,,,(n/a),,0
Milford,Otsego,Milford Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Binghamton,Broome,Broome-Delaware-Tioga Boces,,1,0,0,0,,,(n/a),,0
Madison,Madison,Madison Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Brooklyn Prospect Charter School - Downtown,6,0,0,0,1,,,(n/a),,0
Lisbon,St. Lawrence,Lisbon Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Brooklyn Prospect Charter School,K-12,1,0,0,0,,,(n/a),,0
Lancaster,Erie,Lancaster Central School District,K-12,0,5,1,1,,,(n/a),,0
Brooklyn,Kings,Brooklyn Ascend Charter School,K-10,1,0,0,0,,,(n/a),,0
New York,New York,Kipp Star College Prep Charter,K-12,1,0,0,0,,,(n/a),,0
Brookfield,Madison,Brookfield Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Munnsville,Madison,Stockbridge Valley Central School District,K-12,1,0,0,0,,,(n/a),,0
West Park,Ulster,West Park Union Free School District,,0,0,0,0,,,(n/a),,0
Brooklyn,Kings,Success Academy Charter School - Bergen Beach,K-3,0,1,0,0,,,(n/a),,0
Bronx,Bronx,Bronx Preparatory Charter School,6-12,1,0,0,0,,,(n/a),,0
New York,New York,Success Academy Charter School - Washington Heights,K-3,0,1,0,0,,,(n/a),,0
West Valley,Cattaraugus,West Valley Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
North Creek,Warren,Johnsburg Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Bronx,Bronx,Bronx Lighthouse Charter School,K-12,1,0,0,0,,,(n/a),,0
New York,New York,Success Academy Charter School-Harlem 1,K-11,1,0,0,0,,,(n/a),,0
Rye Brook,Westchester,Westchester Boces,,1,0,0,0,,,(n/a),,0
New York,New York,Inwood Academy For Leadership Charter School,5-11,1,0,0,0,,,(n/a),,0
Bronx,Bronx,Bronx Charter School For Excellence 2,K-1,0,1,0,0,,,(n/a),,0
Far Rockaway,Queens,Success Academy Charter School-Nyc 4,K-1,0,1,0,0,,,(n/a),,0
Dix Hills,Suffolk,Western Suffolk BOCES,,1,0,0,0,,,(n/a),,0
Philadelphia,Jefferson,Indian River Central School District,"PK, KG-12",0,6,1,1,,,(n/a),,0
Bronx,Bronx,Bronx Charter School For Better Learning II,K-1,0,1,0,0,,,(n/a),,0
Hinsdale,Cattaraugus,Hinsdale Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Bridgehampton,Suffolk,Bridgehampton Union Free School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Herkimer,Herkimer,Herkimer-Fulton-Hamilton-Otsego Boces,,1,0,0,0,,,(n/a),,0
Bradford,Schuyler,Bradford Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Roxbury,Delaware,Roxbury Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Bronx,Bronx,Boys Preparatory Charter School Of New York,K-3,0,1,0,0,,,(n/a),,0
Rochester,Monroe,Rochester Prep Charter School 3,K,0,1,0,0,,,(n/a),,0
Bolton Landing,Warren,Bolton Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Mexico,Oswego,Oswego Boces,,1,0,0,0,,,(n/a),,0
Westport,Essex,Westport Central School District,K-12,1,0,0,0,,,(n/a),,0
Scio,Allegany,Scio Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Bellmore,Nassau,Bellmore Union Free School District,"PK, KG-6",0,2,0,1,,,(n/a),,0
Chestertown,Warren,North Warren Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Adams,Jefferson,Belleville-Henderson Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New York,New York,New York City Charter School Of The Arts,6,0,0,0,1,,,(n/a),,0
Belfast,Allegany,Belfast Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Bronx,Bronx,South Bronx Community Charter High School,9,1,0,0,0,,,(n/a),,0
Avoca,Steuben,Avoca Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
South Kortright,Delaware,South Kortright Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Arkport,Steuben,Arkport Central School District,K-12,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Leadership Preparatory Bedford Stuyvesant Charter School,K-12,1,0,0,0,,,(n/a),,0
Whitesville,Allegany,Whitesville Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New York,New York,Kipp Nyc Washington Heights Academy Charter School,K-9,1,0,0,0,,,(n/a),,0
Andover,Allegany,Andover Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Rosedale,Queens,Success Academy Charter School - Rosedale,K-3,0,1,0,0,,,(n/a),,0
Andes,Delaware,Andes Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Watertown,Jefferson,Jefferson-Lewis-Hamilton-Herkimer-Oneida Boces,,1,0,0,0,,,(n/a),,0
New York,New York,Amber Charter School II,K-1,0,1,0,0,,,(n/a),,0
Brooklyn,Kings,Success Academy Charter School-Nyc 10,K-1,0,1,0,0,,,(n/a),,0
Amagansett,Suffolk,Amagansett Union Free School District,"PK, KG-11",1,0,0,0,,,(n/a),,0
Bronx,Bronx,Hyde Leadership Charter School,K-12,1,0,0,0,,,(n/a),,0
Alden,Erie,Alden Central School District,K-12,0,3,1,0,,,(n/a),,0
Hawthorne,Westchester,Hawthorne-Cedar Knolls Union Free School District,K-12,3,1,0,0,,,(n/a),,0
Albany,Albany,Albany-Schoharie-Schenectady-Saratoga Boces,,1,0,0,0,,,(n/a),,0
Yorktown Heights,Westchester,Putnam-Westchester Boces,,1,0,0,0,,,(n/a),,0
Willsboro,Essex,Willsboro Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Albany,Albany,Nys Office For People With Developmental Disabilities,,0,0,0,0,,,(n/a),,0
Brooklyn,Kings,Achievement First-Bushwick Charter School,K-12,1,0,0,0,,,(n/a),,0
Garden City,Nassau,Nassau Boces,,1,0,0,0,,,(n/a),,0
Windham,Greene,Windham-Ashland-Jewett Central School District,K-12,1,0,0,0,,,(n/a),,0
Long Lake,Hamilton,Long Lake Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Achievement First Voyager Charter School,5,0,0,0,1,,,(n/a),,0
Brooklyn,Kings,KIPP Always Mentally Prepared Charter School,K-12,1,0,0,0,,,(n/a),,0
Worcester,Otsego,Worcester Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
New York,New York,Success Academy Charter School-Harlem 3,K-9,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Achievement First North Brooklyn Preparatory Charter School,K-3,0,1,0,0,,,(n/a),,0
Heuvelton,St. Lawrence,Heuvelton Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Achievement First Linden Charter School,K-3,0,1,0,0,,,(n/a),,0
New York,New York,School In The Square Public Charter School,6,0,0,0,1,,,(n/a),,0
Brooklyn,Kings,Achievement First Endeavor Charter School,K-12,1,0,0,0,,,(n/a),,0
Fairport,Monroe,Monroe 1 Boces,,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Kings Collegiate Charter School,5-12,1,0,0,0,,,(n/a),,0
Hempstead,Nassau,Academy Charter School,K-9,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Achievement First Brownsville Charter School,K-9,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Achievement First Crown Heights Charter School,K-12,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Achievement First East New York Charter School,K-12,1,0,0,0,,,(n/a),,0
Brooklyn,Kings,Success Academy Charter School-Nyc 9,K-1,0,1,0,0,,,(n/a),,0
La Fargeville,Jefferson,La Fargeville Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
Batavia,Genesee,New York State School For The Blind,2-12,1,0,0,0,,,(n/a),,0
Roscoe,Sullivan,Roscoe Central School District,"PK, KG-12",1,0,0,0,,,(n/a),,0
